days,CDF
-9.66637931,0.83538688
-9.199827586,0.824007569
-8.733275862,0.812628259
-8.266724138,0.801248949
-7.800172414,0.789869638
-7.33362069,0.778490328
-6.867068966,0.88983829
-6.400517241,0.905731707
-5.933965517,0.976170579
-5.467413793,1.155700359
-5.000862069,1.457957413
-4.534310345,2.169305375
-4.067758621,3.45338061
-3.601206897,5.310183118
-3.134655172,7.77088173
-2.710517241,10.63656504
-2.307586207,13.87090412
-1.898129973,17.42284046
-1.586551724,20.72331791
-1.294549072,24.25042667
-1.035172414,27.71236964
-0.780689655,31.16866274
-0.547413793,34.49497309
-0.335344828,37.55946734
-0.123275862,40.61962826
0.092648903,43.9473618
0.343275862,47.54124895
0.593902821,51.21149973
0.809827586,54.56486964
1.025752351,57.80187591
1.292692308,61.2719386
1.550141066,64.73454048
1.771206897,67.85392136
2.061034483,71.17792383
2.360960591,74.74703713
2.654827586,78.45986964
2.994137931,81.56201044
3.375862069,84.87728343
3.821206897,88.03823954
4.287758621,90.68984725
4.754310345,92.87002638
5.220862069,94.56864707
5.687413793,95.78817685
6.153965517,96.72225208
6.620517241,97.21541823
7.087068966,97.47676619
7.55362069,97.65629597
8.020172414,97.75400757
8.486724138,97.79717371
8.953275862,97.88124895
9.419827586,97.86986964
9.780344828,97.86107653
