"day_dx","date","type","MR","value","lb","ub"
1,2020-02-24,"Estimated","Mortality Risk Day 30",0.0692160148762613,0.0409641091005212,0.0966356575557655
2,2020-02-25,"Estimated","Mortality Risk Day 30",0.0710204497012189,0.0431107177892941,0.0981161343143842
3,2020-02-26,"Estimated","Mortality Risk Day 30",0.0728706486551828,0.0453214866354907,0.0996248243864408
4,2020-02-27,"Estimated","Mortality Risk Day 30",0.0747679364973268,0.0475968782034901,0.101163833106042
5,2020-02-28,"Estimated","Mortality Risk Day 30",0.0767136829346602,0.0499373268313597,0.102735380143954
6,2020-02-29,"Estimated","Mortality Risk Day 30",0.0787093041118362,0.0523433151715972,0.104341730588025
7,2020-03-01,"Estimated","Mortality Risk Day 30",0.0807562641374254,0.0548154519194143,0.105985124663149
8,2020-03-02,"Estimated","Mortality Risk Day 30",0.0828560766461687,0.0573545451484422,0.107667711316427
9,2020-03-03,"Estimated","Mortality Risk Day 30",0.085010306396521,0.0599616631924804,0.109391493283307
10,2020-03-04,"Estimated","Mortality Risk Day 30",0.0872205709025692,0.062638171796816,0.111158294358416
11,2020-03-05,"Estimated","Mortality Risk Day 30",0.0894885420991473,0.0653857321047299,0.112969763626982
12,2020-03-06,"Estimated","Mortality Risk Day 30",0.0918159272995047,0.068206186113316,0.114827446142326
13,2020-03-07,"Estimated","Mortality Risk Day 30",0.0942040438755281,0.0711002934037914,0.116733153961365
14,2020-03-08,"Estimated","Mortality Risk Day 30",0.0966537892818894,0.074067377960149,0.118689246933512
15,2020-03-09,"Estimated","Mortality Risk Day 30",0.0991660135613078,0.0771062728998417,0.120698464737797
16,2020-03-10,"Estimated","Mortality Risk Day 30",0.101741531857617,0.0802154865590095,0.122763795434063
17,2020-03-11,"Estimated","Mortality Risk Day 30",0.104381120894702,0.0833933525908804,0.124888327095226
18,2020-03-12,"Estimated","Mortality Risk Day 30",0.107085515345092,0.086638198346834,0.127075080802099
19,2020-03-13,"Estimated","Mortality Risk Day 30",0.109855404093713,0.0899485226793827,0.129326833297351
20,2020-03-14,"Estimated","Mortality Risk Day 30",0.112691426403201,0.0933231679792443,0.131645943766254
21,2020-03-15,"Estimated","Mortality Risk Day 30",0.115594167988102,0.0967614629541053,0.134034207337066
22,2020-03-16,"Estimated","Mortality Risk Day 30",0.118564157006232,0.10026330218549,0.136492768160596
23,2020-03-17,"Estimated","Mortality Risk Day 30",0.121601859926179,0.103829115503171,0.139022137593359
24,2020-03-18,"Estimated","Mortality Risk Day 30",0.124706773600125,0.107458444353945,0.141621779585441
25,2020-03-19,"Estimated","Mortality Risk Day 30",0.127874957205398,0.111145998344438,0.144289063386334
26,2020-03-20,"Estimated","Mortality Risk Day 30",0.13110125596887,0.114884182795958,0.147021200272109
