county,i_effect,Date
Alameda County,0.45,3/16/2020
Alpine County,0.35,3/19/2020
Amador County,0.2,3/20/2020
Butte County,0.35,3/20/2020
Calaveras County,0.2,3/20/2020
Colusa County,0.15,3/20/2020
Contra Costa County,0.4,3/16/2020
Del Norte County,0.2,3/20/2020
El Dorado County,0.4,3/19/2020
Fresno County,0.3,3/20/2020
Glenn County,0.15,3/20/2020
Humboldt County,0.4,3/20/2020
Imperial County,0.3,3/20/2020
Inyo County,0.2,3/20/2020
Kern County,0.25,3/20/2020
Kings County,0.25,3/20/2020
Lake County,0.35,3/20/2020
Lassen County,0.3,3/20/2020
Los Angeles County,0.4,3/19/2020
Madera County,0.3,3/16/2020
Marin County,0.45,3/16/2020
Mariposa County,0.4,3/20/2020
Mendocino County,0.35,3/18/2020
Merced County,0.2,3/20/2020
Modoc County,0.1,3/20/2020
Mono County,0.4,3/17/2020
Monterey County,0.45,3/17/2020
Napa County,0.45,3/18/2020
Nevada County,0.3,3/20/2020
Orange County,0.45,3/18/2020
Placer County,0.4,3/20/2020
Plumas County,0.2,3/20/2020
Riverside County,0.35,3/16/2020
Sacramento County,0.35,3/19/2020
San Benito County,0.3,3/17/2020
San Bernardino County,0.25,3/17/2020
San Diego County,0.45,3/20/2020
San Francisco County,0.5,3/16/2020
San Joaquin County,0.2,3/12/2020
San Luis Obispo County,0.4,3/19/2020
San Mateo County,0.45,3/16/2020
Santa Barbara County,0.45,3/20/2020
Santa Clara County,0.45,3/16/2020
Santa Cruz County,0.4,3/16/2020
Shasta County,0.2,3/20/2020
Sierra County,0.2,3/20/2020
Siskiyou County,0.1,3/12/2020
Solano County,0.35,3/18/2020
Sonoma County,0.45,3/17/2020
Stanislaus County,0.25,3/20/2020
Sutter County,0.2,3/18/2020
Tehama County,0.15,3/20/2020
Trinity County,0.3,3/20/2020
Tulare County,0.25,3/20/2020
Tuolumne County,0.2,3/17/2020
Ventura County,0.4,3/20/2020
Yolo County,0.25,3/18/2020
Yuba County,0.15,3/18/2020
