country,state,county,date,cumulative_cases,incident_cases,deaths,recovered,date_sx,cdr_low,cdr_mid,cdr_high,cumulative_cases_target_low,cumulative_cases_target_mid,cumulative_cases_target_high
US,California,San Francisco County,02-20-2020,2,0,0,-1,02-11-2020,0.05,0.1,0.2,20,40,80
US,California,Santa Clara County,02-20-2020,2,0,0,-1,02-11-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
US,California,San Francisco County,02-21-2020,2,0,0,-1,02-12-2020,0.05,0.1,0.2,20,40,80
US,California,Santa Clara County,02-21-2020,2,0,0,-1,02-12-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
US,California,San Francisco County,02-22-2020,2,0,0,-1,02-13-2020,0.05,0.1,0.2,20,40,80
US,California,Santa Clara County,02-22-2020,2,0,0,-1,02-13-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
US,California,San Francisco County,02-23-2020,2,0,0,-1,02-14-2020,0.05,0.1,0.2,20,40,80
US,California,Santa Clara County,02-23-2020,2,0,0,-1,02-14-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
US,California,San Francisco County,02-24-2020,3,1,0,-1,02-15-2020,0.05,0.1,0.2,25,50,100
US,California,Santa Clara County,02-24-2020,2,0,0,-1,02-15-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
US,California,San Francisco County,02-25-2020,3,0,0,-1,02-16-2020,0.05,0.1,0.2,25,50,100
US,California,Santa Clara County,02-25-2020,2,0,0,-1,02-16-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
US,California,Sacramento County,02-26-2020,3,2,0,-1,02-17-2020,0.037500000000000006,0.07500000000000001,0.15000000000000002,23.333333333333332,46.666666666666664,93.33333333333333
US,California,San Francisco County,02-26-2020,3,0,0,-1,02-17-2020,0.05,0.1,0.2,25,50,100
US,California,Santa Clara County,02-26-2020,2,0,0,-1,02-17-2020,0.05,0.1,0.2,18.333333333333332,36.666666666666664,73.33333333333333
