country,state,county,date,cases,deaths,recovered,date_sx,cdr_low,cdr_mid,cdr_high,cases_target_low,cases_target_mid,cases_target_high
Mainland China,Anhui,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Beijing,NA,01-22-2020,14,NA,NA,01-13-2020,0.05,0.1,0.2,70,140,280
Mainland China,Chongqing,NA,01-22-2020,6,NA,NA,01-13-2020,0.05,0.1,0.2,30,60,120
Mainland China,Fujian,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Gansu,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Guangdong,NA,01-22-2020,26,NA,NA,01-13-2020,0.05,0.1,0.2,130,260,520
Mainland China,Guangxi,NA,01-22-2020,2,NA,NA,01-13-2020,0.05,0.1,0.2,10,20,40
Mainland China,Guizhou,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Hainan,NA,01-22-2020,4,NA,NA,01-13-2020,0.05,0.1,0.2,20,40,80
Mainland China,Hebei,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Heilongjiang,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Henan,NA,01-22-2020,5,NA,NA,01-13-2020,0.05,0.1,0.2,25,50,100
Hong Kong,Hong Kong,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Hubei,NA,01-22-2020,444,17,28,01-13-2020,0.05,0.1,0.2,2220,4440,8880
Mainland China,Hunan,NA,01-22-2020,4,NA,NA,01-13-2020,0.05,0.1,0.2,20,40,80
Mainland China,Inner Mongolia,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Jiangsu,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Jiangxi,NA,01-22-2020,2,NA,NA,01-13-2020,0.05,0.1,0.2,10,20,40
Mainland China,Jilin,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Liaoning,NA,01-22-2020,2,NA,NA,01-13-2020,0.05,0.1,0.2,10,20,40
Macau,Macau,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Ningxia,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Qinghai,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Shaanxi,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Shandong,NA,01-22-2020,2,NA,NA,01-13-2020,0.05,0.1,0.2,10,20,40
Mainland China,Shanghai,NA,01-22-2020,9,NA,NA,01-13-2020,0.05,0.1,0.2,45,90,180
Mainland China,Shanxi,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Sichuan,NA,01-22-2020,5,NA,NA,01-13-2020,0.05,0.1,0.2,25,50,100
Taiwan,Taiwan,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Tianjin,NA,01-22-2020,4,NA,NA,01-13-2020,0.05,0.1,0.2,20,40,80
Mainland China,Tibet,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Xinjiang,NA,01-22-2020,NA,NA,NA,01-13-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Yunnan,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Zhejiang,NA,01-22-2020,10,NA,NA,01-13-2020,0.05,0.1,0.2,50,100,200
Japan,NA,NA,01-22-2020,2,NA,NA,01-13-2020,0.05,0.1,0.2,10,20,40
Thailand,NA,NA,01-22-2020,2,NA,NA,01-13-2020,0.05,0.1,0.2,10,20,40
South Korea,NA,NA,01-22-2020,1,NA,NA,01-13-2020,0.05,0.1,0.2,5,10,20
Mainland China,Anhui,NA,01-23-2020,9,NA,NA,01-14-2020,0.05,0.1,0.2,45,90,180
Mainland China,Beijing,NA,01-23-2020,22,NA,NA,01-14-2020,0.05,0.1,0.2,110,220,440
Mainland China,Chongqing,NA,01-23-2020,9,NA,NA,01-14-2020,0.05,0.1,0.2,45,90,180
Mainland China,Fujian,NA,01-23-2020,5,NA,NA,01-14-2020,0.05,0.1,0.2,25,50,100
Mainland China,Gansu,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Mainland China,Guangdong,NA,01-23-2020,32,NA,2,01-14-2020,0.05,0.1,0.2,160,320,640
Mainland China,Guangxi,NA,01-23-2020,5,NA,NA,01-14-2020,0.05,0.1,0.2,25,50,100
Mainland China,Guizhou,NA,01-23-2020,3,NA,NA,01-14-2020,0.05,0.1,0.2,15,30,60
Mainland China,Hainan,NA,01-23-2020,5,NA,NA,01-14-2020,0.05,0.1,0.2,25,50,100
Mainland China,Hebei,NA,01-23-2020,1,1,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Mainland China,Heilongjiang,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Mainland China,Henan,NA,01-23-2020,5,NA,NA,01-14-2020,0.05,0.1,0.2,25,50,100
Hong Kong,Hong Kong,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Mainland China,Hubei,NA,01-23-2020,444,17,28,01-14-2020,0.05,0.1,0.2,2220,4440,8880
Mainland China,Hunan,NA,01-23-2020,9,NA,NA,01-14-2020,0.05,0.1,0.2,45,90,180
Mainland China,Inner Mongolia,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Jiangsu,NA,01-23-2020,5,NA,NA,01-14-2020,0.05,0.1,0.2,25,50,100
Mainland China,Jiangxi,NA,01-23-2020,7,NA,NA,01-14-2020,0.05,0.1,0.2,35,70,140
Mainland China,Jilin,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Mainland China,Liaoning,NA,01-23-2020,3,NA,NA,01-14-2020,0.05,0.1,0.2,15,30,60
Macau,Macau,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Mainland China,Ningxia,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Mainland China,Qinghai,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Shaanxi,NA,01-23-2020,3,NA,NA,01-14-2020,0.05,0.1,0.2,15,30,60
Mainland China,Shandong,NA,01-23-2020,6,NA,NA,01-14-2020,0.05,0.1,0.2,30,60,120
Mainland China,Shanghai,NA,01-23-2020,16,NA,NA,01-14-2020,0.05,0.1,0.2,80,160,320
Mainland China,Shanxi,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Mainland China,Sichuan,NA,01-23-2020,8,NA,NA,01-14-2020,0.05,0.1,0.2,40,80,160
Taiwan,Taiwan,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Mainland China,Tianjin,NA,01-23-2020,4,NA,NA,01-14-2020,0.05,0.1,0.2,20,40,80
Mainland China,Tibet,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Xinjiang,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Mainland China,Yunnan,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Mainland China,Zhejiang,NA,01-23-2020,27,NA,NA,01-14-2020,0.05,0.1,0.2,135,270,540
Japan,NA,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Thailand,NA,NA,01-23-2020,3,NA,NA,01-14-2020,0.05,0.1,0.2,15,30,60
South Korea,NA,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Singapore,NA,NA,01-23-2020,1,NA,NA,01-14-2020,0.05,0.1,0.2,5,10,20
Philippines,NA,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Malaysia,NA,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Vietnam,NA,NA,01-23-2020,2,NA,NA,01-14-2020,0.05,0.1,0.2,10,20,40
Australia,NA,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Mexico,NA,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Brazil,NA,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Colombia,NA,NA,01-23-2020,NA,NA,NA,01-14-2020,0.05,0.1,0.2,NA,NA,NA
Mainland China,Hubei,NA,01-24-2020,549,24,31,01-15-2020,0.05,0.1,0.2,2745,5490,10980
Mainland China,Guangdong,NA,01-24-2020,53,NA,2,01-15-2020,0.05,0.1,0.2,265,530,1060
Mainland China,Zhejiang,NA,01-24-2020,43,NA,1,01-15-2020,0.05,0.1,0.2,215,430,860
Mainland China,Beijing,NA,01-24-2020,36,NA,1,01-15-2020,0.05,0.1,0.2,180,360,720
Mainland China,Chongqing,NA,01-24-2020,27,NA,NA,01-15-2020,0.05,0.1,0.2,135,270,540
Mainland China,Hunan,NA,01-24-2020,24,NA,NA,01-15-2020,0.05,0.1,0.2,120,240,480
Mainland China,Guangxi,NA,01-24-2020,23,NA,NA,01-15-2020,0.05,0.1,0.2,115,230,460
Mainland China,Shanghai,NA,01-24-2020,20,NA,1,01-15-2020,0.05,0.1,0.2,100,200,400
Mainland China,Jiangxi,NA,01-24-2020,18,NA,NA,01-15-2020,0.05,0.1,0.2,90,180,360
Mainland China,Sichuan,NA,01-24-2020,15,NA,NA,01-15-2020,0.05,0.1,0.2,75,150,300
Mainland China,Shandong,NA,01-24-2020,15,NA,NA,01-15-2020,0.05,0.1,0.2,75,150,300
Mainland China,Anhui,NA,01-24-2020,15,NA,NA,01-15-2020,0.05,0.1,0.2,75,150,300
Mainland China,Fujian,NA,01-24-2020,10,NA,NA,01-15-2020,0.05,0.1,0.2,50,100,200
Mainland China,Henan,NA,01-24-2020,9,NA,NA,01-15-2020,0.05,0.1,0.2,45,90,180
Mainland China,Jiangsu,NA,01-24-2020,9,NA,NA,01-15-2020,0.05,0.1,0.2,45,90,180
Mainland China,Hainan,NA,01-24-2020,8,NA,NA,01-15-2020,0.05,0.1,0.2,40,80,160
Mainland China,Tianjin,NA,01-24-2020,8,NA,NA,01-15-2020,0.05,0.1,0.2,40,80,160
Mainland China,Yunnan,NA,01-24-2020,5,NA,NA,01-15-2020,0.05,0.1,0.2,25,50,100
Mainland China,Shaanxi,NA,01-24-2020,5,NA,NA,01-15-2020,0.05,0.1,0.2,25,50,100
Mainland China,Heilongjiang,NA,01-24-2020,4,1,NA,01-15-2020,0.05,0.1,0.2,20,40,80
Mainland China,Liaoning,NA,01-24-2020,4,NA,NA,01-15-2020,0.05,0.1,0.2,20,40,80
Mainland China,Guizhou,NA,01-24-2020,3,NA,NA,01-15-2020,0.05,0.1,0.2,15,30,60
Mainland China,Jilin,NA,01-24-2020,3,NA,NA,01-15-2020,0.05,0.1,0.2,15,30,60
Taiwan,Taiwan,NA,01-24-2020,3,NA,NA,01-15-2020,0.05,0.1,0.2,15,30,60
Mainland China,Ningxia,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Hong Kong,Hong Kong,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Macau,Macau,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Mainland China,Hebei,NA,01-24-2020,2,1,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Mainland China,Gansu,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Mainland China,Xinjiang,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Mainland China,Shanxi,NA,01-24-2020,1,NA,NA,01-15-2020,0.05,0.1,0.2,5,10,20
Mainland China,Inner Mongolia,NA,01-24-2020,1,NA,NA,01-15-2020,0.05,0.1,0.2,5,10,20
Mainland China,Qinghai,NA,01-24-2020,NA,NA,NA,01-15-2020,0.05,0.1,0.2,NA,NA,NA
Japan,NA,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Thailand,NA,NA,01-24-2020,5,NA,NA,01-15-2020,0.05,0.1,0.2,25,50,100
South Korea,NA,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Singapore,NA,NA,01-24-2020,3,NA,NA,01-15-2020,0.05,0.1,0.2,15,30,60
Vietnam,NA,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
France,NA,NA,01-24-2020,2,NA,NA,01-15-2020,0.05,0.1,0.2,10,20,40
Mainland China,Hubei,NA,01-25-2020,761,40,32,01-16-2020,0.05,0.1,0.2,3805,7610,15220
Mainland China,Guangdong,NA,01-25-2020,78,NA,2,01-16-2020,0.05,0.1,0.2,390,780,1560
Mainland China,Zhejiang,NA,01-25-2020,62,NA,1,01-16-2020,0.05,0.1,0.2,310,620,1240
Mainland China,Chongqing,NA,01-25-2020,57,NA,NA,01-16-2020,0.05,0.1,0.2,285,570,1140
Mainland China,Hunan,NA,01-25-2020,43,NA,NA,01-16-2020,0.05,0.1,0.2,215,430,860
Mainland China,Beijing,NA,01-25-2020,41,NA,2,01-16-2020,0.05,0.1,0.2,205,410,820
