"Parameter","Mean","2.5%","50%","97.5%","MAP"
"r_beta",0.177792800664,0.165513499218756,0.177400925756322,0.191826169365284,0.176613098390866
"r_tau",0.31749525591971,0.202597130295257,0.327256098378692,0.394740310810741,0.355987253147393
"r_soc_dist_factor",0.644346166701248,0.527647376745821,0.640610946626535,0.740922621454392,0.633149891331502
"r_soc_dist_factor_2",0.529981895348974,0.456897852713964,0.534077711566702,0.591093808638543,0.540101960644267
"r_soc_dist_factor_3",0.477530214073818,0.423729451142146,0.478258626455081,0.512800957247091,0.480797931006509
"r_soc_dist_factor_4",0.518912840562719,0.469485704775523,0.518870023930193,0.560096217929949,0.517123831283929
"r_soc_dist_factor_5",0.62818325173939,0.546436733054494,0.626042208829169,0.717158344550023,0.622209122790841
"r_nu_exp2_dx_lb",0.0847442896405572,0.0306567625174109,0.0909623821745396,0.117907137994249,0.0950391618064396
"r_nu_exp2_dx_ub",0.210249747157413,0.143437233221161,0.215444759288795,0.248231228127821,0.228290972545816
"r_nu_exp2_dx_rate",0.177924521561941,0.0265035603606257,0.149330276005246,0.537833636284006,0.107915654963056
"n_nu_exp2_dx_mid",34.8310425230462,30.1586147799253,33.575799633592,46.7926275138956,32.6684539539921
