"Parameter","Mean","2.5%","50%","97.5%","MAP"
"r_beta",0.191628295438775,0.177839790517273,0.191426246458587,0.205159150459467,0.191089258920749
"r_tau",0.219041789658679,0.156269567270737,0.218628450627793,0.286062197331727,0.212933789181989
"r_soc_dist_factor",0.54872195704929,0.449313312663887,0.549311782850578,0.649428687228112,0.546255456377773
"r_soc_dist_factor_2",0.445937498537712,0.376343729830044,0.441710007804082,0.52388188933048,0.444096080699879
"r_soc_dist_factor_3",0.451533513955232,0.399608781343129,0.452838548984499,0.496038148259365,0.449581781133873
"r_soc_dist_factor_4",0.489976057451795,0.447359118340927,0.490059610814537,0.530445269753907,0.490549607686272
"r_soc_dist_factor_5",0.586042759995458,0.508282781443513,0.583539218540023,0.678327864298516,0.57356149806794
"r_nu_exp2_dx_lb",0.0982623880097551,0.072302621147902,0.0999575578469254,0.11869819685598,0.100416982998779
"r_nu_exp2_dx_ub",0.160787913285734,0.0791960299621348,0.161042990039162,0.236417211187713,0.166527812162479
"r_nu_exp2_dx_rate",0.755283973004471,0.538821619281436,0.763220731733097,0.973533036388448,0.776627105933559
"n_nu_exp2_dx_mid",87.1977867386177,75.6064805455276,86.9918034216948,99.2138386597015,86.9876182580119
